,Sample data (Link data) - item 356775942435,,,,,
,,,,,,
,Param,Ý nghĩa,Tân chọn,Quyết chọn,下元さんの選択,Tài liệu
,Item.ItemID,Mã định danh duy nhất của sản phẩm,TRUE,TRUE,TRUE,https://developer.ebay.com/devzone/xml/docs/reference/ebay/GetItem.html#Response.Item.ItemID
,Item.Title,Tiêu đề sản phẩm,TRUE,TRUE,TRUE,https://developer.ebay.com/devzone/xml/docs/reference/ebay/GetItem.html#Response.Item.Title
,Item.Subtitle,Tiêu đề phụ (nếu có),TRUE,TRUE,TRUE,https://developer.ebay.com/devzone/xml/docs/reference/ebay/GetItem.html#Response.Item.SubTitle
,Item.Description,Mô tả chi tiết sản phẩm,TRUE,TRUE,TRUE,https://developer.ebay.com/devzone/xml/docs/reference/ebay/GetItem.html#Response.Item.Description
,Item.PrimaryCategory.CategoryID,ID danh mục chính,,,,https://developer.ebay.com/devzone/xml/docs/reference/ebay/GetItem.html#Response.Item.PrimaryCategory.CategoryID
,Item.PrimaryCategory.CategoryName,Tên danh mục chính,TRUE,TRUE,TRUE,https://developer.ebay.com/devzone/xml/docs/reference/ebay/GetItem.html#Response.Item.PrimaryCategory.CategoryName
,Item.SecondaryCategory.CategoryID,ID danh mục phụ,,,,https://developer.ebay.com/devzone/xml/docs/reference/ebay/GetItem.html#Response.Item.SecondaryCategory.CategoryID
,Item.SecondaryCategory.CategoryName,Tên danh mục phụ,TRUE,TRUE,TRUE,https://developer.ebay.com/devzone/xml/docs/reference/ebay/GetItem.html#Response.Item.SecondaryCategory.CategoryName
,Item.ListingType,Loại listing (đấu giá / giá cố định),TRUE,TRUE,TRUE,https://developer.ebay.com/devzone/xml/docs/reference/ebay/GetItem.html#Response.Item.ListingType
,Item.ListingDuration,Thời gian đăng bán,TRUE,TRUE,,https://developer.ebay.com/devzone/xml/docs/reference/ebay/GetItem.html#Response.Item.ListingDuration
,Item.StartPrice,Giá khởi điểm,TRUE,TRUE,TRUE,https://developer.ebay.com/devzone/xml/docs/reference/ebay/GetItem.html#Response.Item.StartPrice
,Item.BuyItNowPrice,Giá mua ngay,TRUE,TRUE,TRUE,https://developer.ebay.com/devzone/xml/docs/reference/ebay/GetItem.html#Response.Item.BuyItNowPrice
,Item.ReservePrice,Giá tối thiểu chấp nhận,,,,https://developer.ebay.com/devzone/xml/docs/reference/ebay/GetItem.html#Response.Item.ReservePrice
,Item.Quantity,Số lượng sản phẩm,TRUE,TRUE,TRUE,https://developer.ebay.com/devzone/xml/docs/reference/ebay/GetItem.html#Response.Item.Variations.Variation.Quantity
,Item.QuantitySold,Số lượng đã bán,TRUE,,,https://developer.ebay.com/devzone/xml/docs/reference/ebay/GetItem.html#Response.Item.Variations.Variation.SellingStatus.QuantitySold
,Item.SellingStatus.CurrentPrice,Giá hiện tại,TRUE,TRUE,TRUE,https://developer.ebay.com/devzone/xml/docs/reference/ebay/GetItem.html#Response.Item.SellingStatus.CurrentPrice
,Item.SellingStatus.BidCount,Số lượt đấu giá,TRUE,TRUE,,https://developer.ebay.com/devzone/xml/docs/reference/ebay/GetItem.html#Response.Item.Variations.Variation.SellingStatus.BidCount
,Item.SellingStatus.ListingStatus,Trạng thái listing,TRUE,TRUE,TRUE,https://developer.ebay.com/devzone/xml/docs/reference/ebay/GetItem.html#Response.Item.Variations.Variation.SellingStatus.ListingStatus
,Item.SellingStatus.TimeLeft,Thời gian còn lại,TRUE,TRUE,TRUE,https://developer.ebay.com/devzone/xml/docs/reference/ebay/GetItem.html#Response.Item.TimeLeft
,Item.ListingDetails.StartTime,Thời điểm bắt đầu đăng,,,,https://developer.ebay.com/devzone/xml/docs/reference/ebay/GetItem.html#Response.Item.ListingDetails.StartTime
,Item.ListingDetails.EndTime,Thời điểm kết thúc,TRUE,,TRUE,https://developer.ebay.com/devzone/xml/docs/reference/ebay/GetItem.html#Response.Item.ListingDetails.EndTime
,Item.ListingDetails.ViewItemURL,Link xem sản phẩm,TRUE,,TRUE,https://developer.ebay.com/devzone/xml/docs/reference/ebay/GetItem.html#Response.Item.ListingDetails.ViewItemURL
,Item.Seller.UserID,Tên người bán,TRUE,,,https://developer.ebay.com/devzone/xml/docs/reference/ebay/GetItem.html#Response.Item.Seller.UserID
,Item.Seller.FeedbackScore,Điểm đánh giá người bán,TRUE,,,https://developer.ebay.com/devzone/xml/docs/reference/ebay/GetItem.html#Response.Item.Seller.FeedbackScore
,Item.Seller.PositiveFeedbackPercent,% đánh giá tích cực,TRUE,TRUE,,https://developer.ebay.com/devzone/xml/docs/reference/ebay/GetItem.html#Response.Item.Seller.PositiveFeedbackPercent
